Date,crude,nat-gas,heat,gas,fuel_proxy,jet_proxy,gold,silver,copper,platinum,palladium,wheat,corn,oat,soybean,soy-oil,soy-meal,cocoa,coffee,sugar,cotton,orange,l-cattle,f-cattle,hog,dlr_index,yen,saudriyal,austdlr,nzdlr,rand,ringgit,rupiah,skr,nkr,dkr,hk,sfr,eur,brl
2008-02-28,102.58999633789062,9.442999839782715,2.845599889755249,2.495699882507324,2.845599889755249,2.845599889755249,964.5,19.6299991607666,3.8635001182556152,2129.800048828125,585.25,1169.0,543.25,414.5,1498.5,66.44999694824219,373.5,2800.0,165.0,14.079999923706055,78.12999725341797,127.94999694824219,93.55000305175781,104.6500015258789,61.25,73.72000122070312,104.94999694824219,3.7395999431610107,1.057800054550171,1.228700041770935,7.558899879455566,3.1963999271392822,9059.2001953125,6.159299850463867,5.173299789428711,4.905399799346924,7.781899929046631,1.0509999990463257,0.6580700278282166,1.676300048828125
2008-02-29,101.83999633789062,9.366000175476074,2.8396999835968018,2.5123000144958496,2.8396999835968018,2.8396999835968018,972.0999755859375,19.808000564575195,3.8519999980926514,2155.699951171875,571.9500122070312,1073.0,546.0,422.0,1522.0,68.1500015258789,375.70001220703125,2754.0,164.60000610351562,14.270000457763672,79.66000366210938,126.8499984741211,,103.6500015258789,59.95000076293945,73.70999908447266,103.7699966430664,3.7392001152038574,1.075600028038025,1.2527999877929688,7.807000160217285,3.1928000450134277,9039.400390625,6.16480016708374,5.213600158691406,4.905099868774414,7.777100086212158,1.042199969291687,0.658240020275116,1.6785000562667847
2008-03-03,102.44999694824219,9.345999717712402,2.8408000469207764,2.671999931335449,2.8408000469207764,2.8408000469207764,981.5,20.072999954223633,3.930999994277954,2216.60009765625,581.2000122070312,1093.0,555.5,434.0,1544.5,70.4000015258789,377.0,2772.0,165.39999389648438,15.020000457763672,86.87999725341797,130.60000610351562,92.6500015258789,101.67500305175781,58.79999923706055,73.69999694824219,103.5199966430664,3.7395999431610107,1.0643999576568604,1.2395000457763672,7.753300189971924,3.1963999271392822,9092.400390625,6.146900177001953,5.171299934387207,4.899499893188477,7.783299922943115,1.0410000085830688,0.6578900218009949,1.6740000247955322
2008-03-04,99.5199966430664,9.352999687194824,2.791800022125244,2.529099941253662,2.791800022125244,2.791800022125244,963.9000244140625,19.738000869750977,3.8269999027252197,2242.0,565.4500122070312,1077.5,543.0,416.5,1494.0,67.19999694824219,370.29998779296875,2752.0,162.8000030517578,14.359999656677246,89.0,129.35000610351562,91.19999694824219,101.6500015258789,56.849998474121094,73.66000366210938,103.37000274658203,3.739500045776367,1.0789999961853027,1.2502000331878662,7.885000228881836,3.184000015258789,9093.599609375,6.145699977874756,5.152400016784668,4.898600101470947,7.783299922943115,1.0393999814987183,0.6574599742889404,1.676800012588501
2008-03-05,104.5199966430664,9.741000175476074,2.9430999755859375,2.6421000957489014,2.9430999755859375,2.9430999755859375,986.2000122070312,20.684999465942383,3.989500045776367,2251.10009765625,559.5499877929688,1096.0,557.0,418.0,1490.5,66.55000305175781,375.79998779296875,2760.0,161.75,14.550000190734863,87.25,128.25,90.5999984741211,100.9000015258789,56.775001525878906,73.4800033569336,103.91000366210938,3.7390999794006348,1.0702999830245972,1.2448999881744385,7.77400016784668,3.183199882507324,9078.7001953125,6.108099937438965,5.125999927520752,4.873799800872803,7.78849983215332,1.0358999967575073,0.6545799970626831,1.6670000553131104
2008-03-06,105.47000122070312,9.741999626159668,2.973299980163574,2.6531999111175537,2.973299980163574,2.973299980163574,975.0,20.131000518798828,3.9144999980926514,2175.800048828125,525.2999877929688,1114.0,557.0,410.0,1443.0,63.70000076293945,367.0,2725.0,152.0,13.600000381469727,81.68000030517578,121.94999694824219,89.94999694824219,99.80000305175781,57.400001525878906,73.0,102.58000183105469,3.7385001182556152,1.0759999752044678,1.2539000511169434,8.051400184631348,3.15910005569458,9016.2001953125,6.099699974060059,5.124300003051758,4.841400146484375,7.7866997718811035,1.0219999551773071,0.6499800086021423,1.6628999710083008
2008-03-07,105.1500015258789,9.769000053405762,2.947000026702881,2.6942999362945557,2.947000026702881,2.947000026702881,972.2000122070312,20.158000946044922,3.931999921798706,2016.699951171875,491.79998779296875,1092.5,533.5,391.0,1341.0,60.25,339.0,2713.0,148.75,13.359999656677246,81.27999877929688,124.3499984741211,90.5250015258789,100.5999984741211,57.849998474121094,73.02999877929688,102.69999694824219,3.728600025177002,1.0778000354766846,1.2589999437332153,8.03499984741211,3.1617000102996826,9036.400390625,6.114099979400635,5.1539998054504395,4.850900173187256,7.773499965667725,1.0247999429702759,0.6520599722862244,1.6875
2008-03-10,107.9000015258789,10.02400016784668,2.973400115966797,2.714900016784668,2.973400115966797,2.973400115966797,969.9000244140625,19.697999954223633,3.808500051498413,2014.0999755859375,480.95001220703125,1140.0,555.5,382.0,1388.0,61.20000076293945,353.20001220703125,2698.0,148.25,13.039999961853027,77.27999877929688,123.25,89.75,100.19999694824219,57.724998474121094,72.98999786376953,101.41999816894531,3.7395999431610107,1.0911999940872192,1.2674000263214111,8.0378999710083,3.200000047683716,9180.099609375,6.128300189971924,5.142199993133545,4.859399795532227,7.789000034332275,1.0189000368118286,0.6518499851226807,1.6984000205993652
2008-03-11,108.75,10.0,2.995699882507324,2.726099967956543,2.995699882507324,2.995699882507324,974.2000122070312,19.676000595092773,3.7990000247955322,2027.4000244140625,496.25,1240.0,564.0,395.0,1392.5,62.599998474121094,347.0,2766.0,150.14999389648438,13.449999809265137,81.27999877929688,125.75,89.9000015258789,99.75,58.29999923706055,73.27999877929688,103.2699966430664,3.746000051498413,1.07669997215271,1.2472000122070312,7.797800064086914,3.1988000869750977,9151.599609375,6.11959981918335,5.1458001136779785,4.859300136566162,7.787799835205078,1.0324000120162964,0.6518099904060364,1.701300024986267
2008-03-12,109.91999816894531,10.01099967956543,3.024399995803833,2.728600025177002,3.024399995803833,3.024399995803833,978.7999877929688,19.910999298095703,3.8515000343322754,2045.0,507.54998779296875,1270.0,556.75,393.0,1379.0,61.650001525878906,345.5,2768.0,151.85000610351562,13.15999984741211,82.05999755859375,125.4000015258789,90.32499694824219,99.7750015258789,57.75,72.4000015258789,101.4800033569336,3.7393999099731445,1.0684000253677368,1.2391999959945679,7.861999988555908,3.171099901199341,9119.0,6.066699981689453,5.083600044250488,4.796599864959717,7.78849983215332,1.0147000551223755,0.6434999704360962,1.6821999549865723
